Journal title,ISSN,eISSN,Publisher details
SERIEs,1869-4187,Springer Nature B.V.,Netherlands
Settler Colonial Studies,2201-473X,Taylor & Francis Ltd.,United Kingdom
Sibirica : the Journal of Siberian Studies,1361-7362,"Berghahn Books, Inc.",United States
Sicilia Archeologica,0037-4571,L'Erma di Bretschneider,Italy
Signs,0097-9740,"University of Chicago, acting through its Press",United States
Simulation & Gaming,1046-8781,"SAGE PUBLICATIONS, INC.",United States
"Singapore Economic Review, The",0217-5908,"World Scientific Publishing Co. Pte., Ltd.",Singapore
Singapore Journal of Tropical Geography,0129-7619,"Wiley Subscription Services, Inc.",United States
Sistema,0210-0223,Fundacion Fondo Social Universitario,Spain
Slavic Review,0037-6779,Cambridge University Press,United Kingdom
Slovanský Přehled,0037-6922,"Akademie Ved Ceske Republiky, Historicky Ustav",Czech Republic
Slovo,0954-6839,"Maney Publishing, Hudson Road",United Kingdom
Small Business Economics,0921-898X,Springer Nature B.V.,Netherlands
Social & Cultural Geography,1464-9365,Taylor & Francis LLC,United Kingdom
Social & Cultural Geography,1464-9365,Taylor & Francis Ltd.,United Kingdom
Social & Legal Studies,0964-6639,Sage Publications Ltd.,United Kingdom
Social Analysis,0155-977X,"Berghahn Books, Inc.",United States
Social and Economic Studies,0037-7651,University of the West Indies,Jamaica
Social Choice and Welfare,0176-1714,Springer Nature B.V.,Netherlands
Social Cognition,0278-016X,Guilford Press,United States
Social Compass,0037-7686,Sage Publications Ltd.,United Kingdom
Social Development Issues,0147-1473,Michigan Publishing (University of Michigan Library),United States
Social Dynamics,0253-3952,Taylor & Francis LLC,United Kingdom
Social Epistemology,0269-1728,Taylor & Francis LLC,United Kingdom
Social History,0307-1022,"Routledge, Taylor & Francis Group",United Kingdom
Social Identities,1350-4630,Taylor & Francis Ltd.,United Kingdom
Social Inclusion,2183-2803,Cogitatio Press,Portugal
Social Indicators Research,0303-8300,Springer Nature B.V.,Netherlands
Social Justice Research,0885-7466,Springer Nature B.V.,Netherlands
Social Network Analysis and Mining,1869-5450,Springer Nature B.V.,Netherlands
Social Philosophy & Policy,0265-0525,Cambridge University Press,United Kingdom
Social Policy and Administration,0144-5596,Blackwell Publishing Ltd.,United Kingdom
Social Policy and Society,1474-7464,Cambridge University Press,United Kingdom
Social Psychology Quarterly,0190-2725,American Sociological Association,United States
Social Responsibility Journal,1747-1117,Emerald Group Publishing Limited,United Kingdom
Social Science Information,0539-0184,Sage Publications Ltd.,United Kingdom
Social Science Quarterly,0038-4941,Blackwell Publishing Ltd.,United Kingdom
Social Sciences,0134-5486,East View Publications,United States
Social Sciences in China,0252-9203,Taylor & Francis Ltd.,United Kingdom
Social Semiotics,1035-0330,Taylor & Francis LLC,United Kingdom
"Social Service Review, The",0037-7961,"University of Chicago, acting through its Press",United States
Social Studies of Science,0306-3127,Sage Publications Ltd.,United Kingdom
Social Theory & Health,1477-8211,Palgrave Macmillan,United Kingdom
Social Theory and Practice,0037-802X,Florida State University,United States
Social Work & Social Sciences Review,0953-5225,Whiting & Birch Ltd.,United Kingdom
Socialism and Democracy,0885-4300,Taylor & Francis Ltd.,United Kingdom
Socialist Lawyer,0954-3635,Haldane Society of Socialist Lawyers,United Kingdom
Socialno Delo,0352-7956,"University of Ljubljana, Faculty of Social Work",Slovenia
Sociétés Contemporaines,1150-1944,Presses des Sciences Politiques,France
Society,0147-2011,Springer Nature B.V.,Netherlands
Society & Natural Resources,0894-1920,Taylor & Francis Ltd.,United Kingdom
Socio - Anthropologie,1276-8707,"Universite Nice-Sophia Antipolis, Departement de Sociologie-Ethnologie",France
Socio-Économie du Travail,2554-9073,Classiques Garnier Numérique,France
Sociologia,0049-1225,Vydavatel'stvo S A P s.r.a.,Slovenia
Sociologia,0872-3419,Universidade do Porto Faculdade de Letras,Portugal
Sociologia del Diritto,0390-0851,Franco Angeli Editore,Italy
Sociologia Ruralis,0038-0199,Blackwell Publishing Ltd.,United Kingdom
Sociologica,1971-8853,Societa Editrice il Mulino,Italy
Sociological Forum,0884-8971,"Wiley Subscription Services, Inc.",United States
Sociological Methods and Research,0049-1241,"SAGE PUBLICATIONS, INC.",United States
Sociological Perspectives,0731-1214,"SAGE PUBLICATIONS, INC.",United States
Sociological Quarterly,0038-0253,Taylor & Francis Ltd.,United Kingdom
Sociological Research Online,1360-7804,Sage Publications Ltd.,United Kingdom
"Sociological Review, The",0038-0261,Sage Publications Ltd.,United Kingdom
Sociological Spectrum : the Official Journal of the Mid-South Sociological Association,0273-2173,Taylor & Francis Ltd.,United Kingdom
Sociological Theory,0735-2751,American Sociological Association,United States
Sociologicky Casopis,0038-0288,Institute of Sociology of the Academy of Sciences of the Czech Republic,Czech Republic
Sociologija,0038-0318,Sociolosko Udruzenje Srbije i Crne Gore (Sociological Association of Serbia and Montenegro),Serbia (Republic Of Serbia)
Sociologija : Mintis ir Veiksmas,1392-3358,"Department of Sociology, Klaipeda University",Lithuania
Sociology : the Journal of the British Sociological Association,0038-0385,Sage Publications Ltd.,United Kingdom
Sociology Lens,2832-5796,Blackwell Publishing Ltd.,United Kingdom
"Sociology of Crime, Law and Deviance",1521-6136,Emerald Group Publishing Limited,United Kingdom
Sociology of Health & Illness,0141-9889,Blackwell Publishing Ltd.,United Kingdom
Sojourn,0217-9520,ISEAS - Yusof Ishak Institute,Singapore
Sosyal ve Beşerî Bilimler Dergisi,1309-8012,The Social Sciences Research Society,Turkey
Soudobé Dějiny,1210-7050,"Akademie Ved Ceske Republiky, Ustav pro Soudobe Dejiny",Czech Republic
"South African Geographical Journal, The",0373-6245,Taylor & Francis Ltd.,United Kingdom
South African Journal of Childhood Education (SAJCE),2223-7674,AOSIS (Pty) Ltd,South Africa
South African Journal of Economics,0038-2280,"Wiley Subscription Services, Inc.",United States
South African Journal of Education,0256-0100,Education Association of South Africa,South Africa
"South African Journal of International Affairs, The",1022-0461,Taylor & Francis Ltd.,United Kingdom
South African Journal on Human Rights,0258-7203,Taylor & Francis Ltd.,United Kingdom
"South African Law Journal, The",0258-2503,Juta & Company Limited,South Africa
South African Review of Sociology,2152-8586,Taylor & Francis Ltd.,United Kingdom
South Asia,0085-6401,Taylor & Francis Ltd.,United Kingdom
South Asian Diaspora,1943-8192,Taylor & Francis Ltd.,United Kingdom
South Asian History and Culture,1947-2498,Taylor & Francis Ltd.,United Kingdom
South Asian Popular Culture,1474-6689,Taylor & Francis Ltd.,United Kingdom
South Asian Studies,1026-678X,"Centre for South Asian Studies, University of the Punjab",Pakistan
South Asian Studies,0266-6030,Taylor & Francis Ltd.,United Kingdom
South East Asia Research,0967-828X,Taylor & Francis Group,United Kingdom
"South East Asian Review, The",0257-7364,Prints Publications Pvt. Ltd.,India
South East European Journal of Economics and Business (Online),2233-1999,"University of Sarajevo, School of Economics and Business",Bosnia And Herzegovina
South European Society & Politics,1360-8746,Taylor & Francis Ltd.,United Kingdom
Southeast Asia: A Multidisciplinary Journal,1819-5091,Emerald Group Publishing Limited,United Kingdom
Southeast Asian Affairs,0377-5437,ISEAS - Yusof Ishak Institute,Singapore
Southeast Asian Studies,2186-7275,Center for Southeast Asian Studies,Japan
Southern Economic Journal,0038-4038,Southern Economic Association,United States
Sozial Extra,0931-279X,Springer Nature B.V.,Netherlands
Soziale Welt,0038-6073,Nomos Verlagsgesellschaft mbH und Co KG,Germany
Soziologie,0340-918X,VS - Verlag fuer Sozialwissenschaften,Germany
Space & Polity,1356-2576,Taylor & Francis Ltd.,United Kingdom
"Spanish Journal of Psychology, The",1138-7416,Cambridge University Press,United Kingdom
Spatial Economic Analysis,1742-1772,Taylor & Francis Ltd.,United Kingdom
Spectrum,2162-3244,Indiana University Press,United States
Spoudai,1105-8919,University of Piraeus,Greece
State Politics & Policy Quarterly,1532-4400,Cambridge University Press,United Kingdom
"Statistics, Politics, and Policy",2194-6299,Walter de Gruyter GmbH,Germany
Statisztikai Szemle,0039-0690,"Kozponti Statisztikai Hivatal, Marketing Oszta'ly",Hungary
Statsvetenskaplig Tidskrift,0039-0747,Fahlbeckska Stiftelsen,Sweden
Stichproben,1992-8610,"University of Vienna, Department of African Studies",Austria
Storica,1125-0194,Viella Libreria Editrice,Italy
Strategic Analysis,0970-0161,Taylor & Francis Ltd.,United Kingdom
Strategic Management Journal,0143-2095,Wiley Periodicals Inc.,United States
Strategic Review for Southern Africa,1013-1108,University of Pretoria,Somalia
Studi Culturali,1824-369X,Societa Editrice il Mulino,Italy
Studi di Sociologia,0039-291X,Vita e Pensiero,Italy
Studia Ethnologica Croatica,1330-3627,University of Zagreb,Croatia
Studia Filmoznawcze,0860-116X,Wroclaw University Press,Poland
Studia Islamika,0215-492,Pusat Penkajian Islam dan Masyarakat,Indonesia
Studia Migracyjne--Przegląd Polonijny,2081-4488,"Polska Akademia Nauk, Komitet Badan nad Migracjami",Poland
Studia Poliana,1139-6660,"Universidad de Navarra, Servicio de Publicaciones",Spain
Studia Prawno-Ekonomiczne,0081-6841,Lódzkie Towarzystwo Naukowe,Poland
Studia Socjologiczne,0039-3371,"Polska Akademia Nauk, Instytut Filozofii i Socjologii",Poland
"Studia Universitatis ""Vasile Goldis"" Arad. Seria stiinte economice.",1584-2339,"""Vasile Goldis"" University Press",Romania
Studia Universitatis Babes-Bolyai,1224-8703,"Babes-Bolyai University, STUDIA UNIVERSITATIS BABES-BOLYAI",Romania
Studia Universitatis Babes-Bolyai,1220-0506,"Babes-Bolyai University, STUDIA UNIVERSITATIS BABES-BOLYAI",Romania
Studia Universitatis Babeș-Bolyai. Iurisprudentia,1220-045X,"Babes-Bolyai University, STUDIA UNIVERSITATIS BABES-BOLYAI",Romania
Studia Universitatis Babeș-Bolyai. Philosophia,1221-8138,"Babes-Bolyai University, STUDIA UNIVERSITATIS BABES-BOLYAI",Romania
Studia Universitatis Babeș-Bolyai. Psychologia-Paedagogia,1221-8111,"Babes-Bolyai University, STUDIA UNIVERSITATIS BABES-BOLYAI",Romania
Studia Universitatis Babes-Bolyai. Studia Europaea,1224-8746,Journal Studia Europaea,Romania
Studies in American Political Development,0898-588X,Cambridge University Press,United Kingdom
Studies in Comparative International Development,0039-3606,Springer Nature B.V.,Netherlands
Studies in Conflict and Terrorism,1057-610X,Taylor & Francis LLC,United Kingdom
Studies in East European Thought,0925-9392,Springer Nature B.V.,Netherlands
Studies in Economics and Finance,1086-7376,Emerald Group Publishing Limited,United Kingdom
Studies in Ethnicity and Nationalism,1473-8481,"Wiley Subscription Services, Inc.",United States
Studies in Family Planning,0039-3665,"Wiley Subscription Services, Inc.",United States
Studies in Higher Education,0307-5079,Taylor & Francis Ltd.,United Kingdom
Studies in Nonlinear Dynamics and Econometrics,1081-1826,Walter de Gruyter GmbH,Germany
Studies in Philosophy and Education,0039-3746,Springer Nature B.V.,Netherlands
Studies in Political Economy,0707-8552,Taylor & Francis Ltd.,United Kingdom
Subjectivity,1755-6341,Palgrave Macmillan,United Kingdom
Suedosteuropa-Mitteilungen,0340-174X,Sudosteurpora-Gesellschaft e.V.,Germany
Surveillance & Society,1477-7487,Surveillance Studies Network,United Kingdom
Survey Methodology,0714-0045,"Statistics Canada, Operations and Integration Division",Canada
Survival,0039-6338,Taylor & Francis Ltd.,United Kingdom
Sustainable Development,0968-0802,Wiley Periodicals Inc.,United States
Swiss Journal of Economics and Statistics,2235-6282,Springer Nature B.V.,Netherlands
Symbolic Interaction,0195-6086,Blackwell Publishing Ltd.,United Kingdom
Symphonya,1593-0300,"Symphonya. Emerging Issues in Management, University of Milan - Bicocca",Italy
Symposium,1917-9685,Canadian Society for Continental Philosophy,Canada
Systems Research and Behavioral Science,1092-7026,Wiley Periodicals Inc.,United States
Tabula Rasa,2011-2742,Universidad Colegio Mayor de Cundinamarca,Colombia
Taiwan Journal of Democracy,1815-7238,Taiwan Foundation for Democracy,Taiwan
Tajseer Journal,2664-7869,Qatar University Press,Qatar
Tang Studies,0737-5034,Johns Hopkins University Press,United States
Technology Analysis & Strategic Management,0953-7325,Taylor & Francis Ltd.,United Kingdom
Technology and Culture,0040-165X,Johns Hopkins University Press,United States
Tel Aviv,0334-4355,Taylor & Francis Ltd.,United Kingdom
Telos,0090-6514,"Telos Press, Ltd.",United States
Tér és Társadalom,0237-7683,"Magyar Tudomanyos Akademia, Hungarian Academy of Sciences",Hungary
Terra,2386-9968,Universitat de Valencia,Spain
Terrain,0760-5668,Mission du Patrimoine Ethnologique,France
"Territory, Politics, Governance",2162-2671,Taylor & Francis Ltd.,United Kingdom
Terrorism & Political Violence,0954-6553,Taylor & Francis Ltd.,United Kingdom
Text & Talk,1860-7330,Walter de Gruyter GmbH,Germany
Textile : the Journal of Cloth and Culture,1475-9756,Taylor & Francis Ltd.,United Kingdom
Textile Museum Journal,0083-7407,University of Texas at Austin (University of Texas Press),United States
Theoretical Criminology,1362-4806,Sage Publications Ltd.,United Kingdom
Theoretical Economics,1933-6837,"John Wiley & Sons, Inc.",United States
Theoria,0040-5817,"Berghahn Books, Inc.",United States
Theory & Psychology,0959-3543,Sage Publications Ltd.,United Kingdom
Theory and Decision,0040-5833,Springer Nature B.V.,Netherlands
"Theory and Practice of Legislation, The",2050-8840,Taylor & Francis Ltd.,United Kingdom
Theory and Society,0304-2421,Springer Nature B.V.,Netherlands
"Theory, Culture & Society",0263-2764,Sage Publications Ltd.,United Kingdom
Thesis Eleven,0725-5136,Sage Publications Ltd.,United Kingdom
Third Text,0952-8822,Taylor & Francis Ltd.,United Kingdom
Third World Quarterly,0143-6597,Taylor & Francis Ltd.,United Kingdom
Tijdschrift voor Economische en Sociale Geografie,0040-747X,"Wiley Subscription Services, Inc.",United States
Tijdschrift voor Sociale en Economische Geschiedenis,1572-1701,International Institute of Social History,Netherlands
Tijdschrift voor Taalbeheersing,1573-9775,Amsterdam University Press,Netherlands
Time & Society,0961-463X,Sage Publications Ltd.,United Kingdom
Tokovi Istorije,0354-6497,Institut za noviju istoriju Srbije,Serbia (Republic Of Serbia)
Tōkyō Keidai Gakkai shi,1348-6411,"Tokyo Keizai University, Academy of Business Administration",Japan
Topia,1206-0143,Topia,Canada
Tourism,1332-7461,Institute for Tourism,Croatia
Tourism and Hospitality Research,1467-3584,Sage Publications Ltd.,United Kingdom
Tourism Economics,1354-8166,Sage Publications Ltd.,United Kingdom
Tourism Geographies,1461-6688,Taylor & Francis Ltd.,United Kingdom
Tourism Review International,1544-2721,Cognizant Communication Corporation,United States
"Town Planning Review, The",0041-0020,Liverpool University Press,United Kingdom
"Trabalho, Educação e Saúde",1678-1007,"Escola Politecnica de Saude Joaquim Venancio, Fundacao Oswaldo Cruz",Brazil
Transactions - Institute of British Geographers,0020-2754,"Wiley Subscription Services, Inc.",United States
Transformation,0258-7696,University of KwaZulu-Natal,South Africa
Transformations in Business & Economics,1648-4460,"Vilnius University, Kaunas Faculty of Humanities",Lithuania
Transforming Anthropology,1051-0559,Blackwell Publishing Ltd.,United Kingdom
Transitions,2397-7140,Intellect Ltd.,United Kingdom
Transnational Legal Theory,2041-4005,Taylor & Francis Ltd.,United Kingdom
Transportation,0049-4488,Springer Nature B.V.,Netherlands
Transportation Science,0041-1655,Institute for Operations Research and the Management Sciences,United States
Treballs d'Arqueologia,1134-9263,"Universitat Autonoma de Barcelona, Servei de Publicacions",Spain
Trilogia,0716-0356,Instituto Tecnológico Metropolitano,Colombia
Turkish Policy Quarterly,1303-5754,ARI Movement,Turkey
Twentieth-Century China,1521-5385,Johns Hopkins University Press,United States
Tydskrif vir Hedendaagse Romeins-Hollandse Reg,1682-4490,LexisNexis South Africa,
Tydskrif vir Regswetenskap,0258-252X,"University of the Free State, Journal for Juridical Science",South Africa
UCJC Business and Society Review,2659-3270,Universidad Camilo Jose Cela,Spain
Ufahamu : Journal of the African Activist Association (Online),2150-5802,The UCLA James S. Coleman African Studies Center,United States
Uluslararasi Iliskiler = International Relations,1304-7310,Uluslararasi Iliskiler Dergisi,Turkey
"Universitatea ""Alexandru Ioan Cuza"" din Iasi. Sectiunea Sociologie si Asistenta Sociala. Analele Stiintifice",2065-3131,"Alexandru Ioan Cuza University Press, Department of Sociology and Social Work",Romania
Üniversitepark Bülten,2147-351X,"Universitepark, Co. Ltd.",Turkey
Urban Affairs Review,1078-0874,"SAGE PUBLICATIONS, INC.",United States
Urban Design International,1357-5317,Palgrave Macmillan,United Kingdom
Urban Forum,1015-3802,Springer Nature B.V.,Netherlands
Urban Geography,0272-3638,Taylor & Francis Ltd.,United Kingdom
Urban India,0970-9045,National Institute of Urban Affairs,India
Urban Policy and Research,0811-1146,Taylor & Francis Ltd.,United Kingdom
Urban Research & Practice,1753-5069,Taylor & Francis Ltd.,United Kingdom
Urban Science,2413-8851,MDPI AG,Switzerland
Urban Studies,0042-0980,Sage Publications Ltd.,United Kingdom
Urbani Izziv,0353-6483,Urban Planning Institute of the Republic of Slovenia,Slovenia
US Latina & Latino Oral History Journal,2574-0180,University of Texas at Austin (University of Texas Press),United States
Utilitas,0953-8208,Cambridge University Press,United Kingdom
Venture Capital : an International Journal of Entrepreneurial Finance,1369-1066,Taylor & Francis Ltd.,United Kingdom
Verfassung und Recht in Uebersee,0506-7286,Nomos Verlagsgesellschaft mbH und Co KG,Germany
Vestigios,1981-5875,Universidade Federal de Minas Gerais Faculdade de Filosofia e Ciencias Humanas,Brazil
"Vestnik Moskovskogo Universiteta. Seriâ VIII, Istoriâ",0130-0083,Publishing House of Moscow State University,Russian Federation
Via Inveniendi et Iudicandi,1909-0528,Universidad Santo Tomás de Colombia,Colombia
Vie & Sciences de l'Entreprise,2262-5321,ANDESE,France
Vierteljahrschrift für Sozial und- Wirtschaftsgeschichte,0340-8728,Franz Steiner Verlag,Germany
Violence Against Women,1077-8012,"SAGE PUBLICATIONS, INC.",United States
Virittaja,0042-6806,Virittaja Kotikielen Seura,Finland
Visual Anthropology,0894-9468,Taylor & Francis Ltd.,United Kingdom
Visual Anthropology Review,1058-7187,"Wiley Subscription Services, Inc.",United States
Visual Studies,1472-586X,Taylor & Francis Ltd.,United Kingdom
Voluntary Sector Review,2040-8056,Policy Press,United Kingdom
Voluntas,0957-8765,Springer Nature B.V.,Netherlands
Voprosy Ékonomiki,0042-8736,Russian Presidential Academy of National Economy and Public Administration (RANEPA),Russian Federation
Vorgänge,0507-4150,BWV - Berliner Wissenschafts Verlag GmbH,Germany
Washington International Law Journal,2377-0872,Washington Law Review Association,United States
"Washington Quarterly, The",0163-660X,"Routledge, Taylor & Francis Group",United Kingdom
Water Economics and Policy,2382-624X,"World Scientific Publishing Co. Pte., Ltd.",Singapore
Water Policy,1366-7017,IWA Publishing,United Kingdom
WeltTrends,0944-8101,"Universitat Potsdam, Redaktionsburo WeltTrends",Germany
West European Politics,0140-2382,Taylor & Francis Ltd.,United Kingdom
Wieś i Rolnictwo,0137-1673,"Polska Akademia Nauk, Instytut Rozwoju Wsi i Rolnictwa",Poland
Wiley Interdisciplinary Reviews. Forensic Science,2573-9468,"Wiley Subscription Services, Inc.",United States
Wirtschaftswissenschaftliches Studium,0340-1650,Verlag Franz Vahlen GmbH,Germany
Women : A Cultural Review,0957-4042,Taylor & Francis Ltd.,United Kingdom
"Women, Gender, and Families of Color",2326-0939,University of Illinois Press,United States
Women's Studies,0049-7878,Taylor & Francis Ltd.,United Kingdom
Work and Occupations,0730-8884,"SAGE PUBLICATIONS, INC.",United States
Work and Stress,0267-8373,Taylor & Francis Ltd.,United Kingdom
"Work, Employment & Society",0950-0170,Sage Publications Ltd.,United Kingdom
World,2673-4060,MDPI AG,Switzerland
World Archaeology,0043-8243,"Routledge, Taylor & Francis Group",United Kingdom
"World Economy, The",0378-5920,Blackwell Publishing Ltd.,United Kingdom
World Health Organization. Bulletin of the World Health Organization,0042-9686,World Health Organization,Switzerland
World Politics,0043-8871,Johns Hopkins University Press,United States
"World Today, The",0043-9134,Royal Institute of International Affairs,United Kingdom
Yale Journal on Regulation,0741-9457,Yale Journal on Regulation,United States
"Yale Law Journal, The",0044-0094,"Yale Law Journal Company, Inc.",United States
Zanj,2515-2130,Pluto Journals,United Kingdom
Zarzadzanie Publiczne,1896-0200,Jagiellonian University-Jagiellonian University Press,Poland
Zbornik Radova Ekonomski Fakultet u Rijeka,1331-8004,Sveuciliste u Rijeci,Croatia
Zeitschrift fuer Qualitative Forschung,2196-2138,Verlag Barbara Budrich,Germany
Zeitschrift fuer Sexualforschung,0932-8114,Georg Thieme Verlag Stuttgart,Germany
Zeitschrift für Energiewirtschaft,0343-5377,Springer Nature B.V.,Netherlands
Zeitschrift für Ethnologie - Journal of Social and Cultural Anthropology,0044-2666,Dietrich Reimer Verlag GmbH,Germany
Zeitschrift für Evaluation,1619-5515,Waxmann Verlag GmbH,Germany
Zeitschrift für Ostmitteleuropa-Forschung,0948-8294,Herder-Institut,Germany
Zeitschrift für Parlamentsfragen,0340-1758,VS Verlag,Germany
Zeitschrift für Soziologie,0340-1804,Walter de Gruyter GmbH,Germany
Zeitschrift für Unternehmensgeschichte,0342-2852,Walter de Gruyter GmbH,Germany
Zeitschrift für Wirtschafts- und Unternehmensethik,1439-880X,Nomos Verlagsgesellschaft mbH und Co KG,Germany
Zeitschrift für Wirtschaftspolitik,0721-3808,Walter de Gruyter GmbH,Germany
Zeszyty Naukowe Ochrony Zdrowia. Zdrowie Publiczne i Zarzadzanie,1731-7398,Jagiellonian University-Jagiellonian University Press,Poland
Zeszyty Naukowe Uniwersytetu Jagiellonskiego. Studia Religiologica,0137-2432,Jagiellonian University-Jagiellonian University Press,Poland
Zeszyty Wiejskie,1506-6541,"Uniwersytet Lodzki, Interdyscyplinarny Zespol Badania Wsi",Poland
