Journal title,ISSN,eISSN,Publisher details
Cogent Social Sciences,2331-1886,Taylor & Francis Ltd.,United Kingdom
"Cognition, Brain, Behavior",2247-9228,A.S.C.R. PRESS,United Kingdom
Cold War History,1468-2745,Taylor & Francis Ltd.,United Kingdom
Cold War History,1468-2745,Taylor & Francis Ltd.,United Kingdom
Collegium Antropologicum,0350-6134,Institute for Anthropological Research,Croatia
Colombia Internacional,0121-5612,"Universidad de Los Andes, UNIANDES Journals (Revistas UNIANDES)",Colombia
Colonial Latin American Review,1060-9164,Taylor & Francis Ltd.,United Kingdom
"Columbia Journal of Transnational Law, The",0010-1931,Columbia Law School,United States
Columbia Law Review,0010-1958,"Columbia Law Review Association, Inc.",United States
Commonwealth & Comparative Politics,1466-2043,Taylor & Francis Ltd.,United Kingdom
Communication & Society,2386-7876,Universidad de Navarra,Spain
"Communication Review, The",1071-4421,Taylor & Francis Ltd.,United Kingdom
Communist and Post-Communist Studies,0967-067X,"University of California Press, Journals & Digital Publishing Division",United States
"Community, Work & Family",1366-8803,Taylor & Francis Ltd.,United Kingdom
"Community, Work & Family",1366-8803,Taylor & Francis Ltd.,United Kingdom
Comparative American Studies,1477-5700,Taylor & Francis Ltd.,United Kingdom
"Comparative and International Law Journal of Southern Africa, The",0010-4051,University of South Africa,South Africa
Comparative Economic Research,1508-2008,University of Łódź,Poland
Comparative Economic Studies,0888-7233,Palgrave Macmillan,United Kingdom
Comparative Education,0305-0068,Taylor & Francis Ltd.,United Kingdom
Comparative European Politics,1472-4790,Palgrave Macmillan,United Kingdom
Comparative Migration Studies,2214-594X,Springer Nature B.V.,Netherlands
Comparative Political Studies,0010-4140,"SAGE PUBLICATIONS, INC.",United States
Comparative Politics,0010-4159,Transaction Inc.,United States
Comparative Sociology,1569-1322,"Brill Academic Publishers, Inc.",Netherlands Antilles
Comparative Strategy,0149-5933,Taylor & Francis LLC,United Kingdom
Comparative Studies in Society and History,0010-4175,Cambridge University Press,United Kingdom
"Comparative Studies of South Asia, Africa, and the Middle East",1089-201X,"Duke University Press, NC & IL",United States
Complutum,1131-6993,Universidad Complutense de Madrid,Spain
Computational and Mathematical Organization Theory,1381-298X,Springer Nature B.V.,Netherlands
Computational Economics,0927-7099,Springer Nature B.V.,Netherlands
Comunicazioni Sociali,0392-8667,Vita e Pensiero,Italy
Conflict Resolution Quarterly,1536-5581,Wiley Periodicals Inc.,United States
