Journal Title,eISSN,Open Access Status,Included in R&P agreement,Explanation if not included,Subject,Publisher,Agreement Duration
BJR Artificial Intelligence,2976-8705,Gold OA,No,Discounted ,Medicine,OUP,2025-2027
BJR Case Reports,2055-7159,Gold OA,No,Discounted ,Medicine,OUP,2025-2027
BJR Open,2474-9842,Gold OA,No,Discounted ,Medicine,OUP,2025-2027
BJS Open,2474-9842,Gold OA,No,Discounted ,Medicine,OUP,2025-2027
Botanical Journal of the Linnean Society,1095-8339,Hybrid,yes,,Science & Mathematics,OUP,2025-2027
Brain,1460-2156,Hybrid,yes,,"Medicine, Science & Mathematics",OUP,2025-2027
Brain Communications,2632-1297,Gold OA,No,Discounted ,Medicine,OUP,2025-2027
Briefings In Bioinformatics,1477-4054,Gold OA,Yes,,Science & Mathematics,OUP,2025-2027
Briefings in Functional Genomics,2041-2657,Gold OA,yes,,Science & Mathematics,OUP,2025-2027
British Journal of Aesthetics,1468-2842,Hybrid,yes,,,OUP,2025-2027
British Journal Of Criminology,1464-3529,Hybrid,yes,,,OUP,2025-2027
British Journal of Dermatology,1365-2133,Hybrid,yes,,Medicine,OUP,2025-2027
British Journal of Surgery,1365-2168,Hybrid,yes,,Medicine,OUP,2025-2027
British Medical Bulletin,1471-8391,Hybrid,yes,,Medicine,OUP,2025-2027
Bulletin of the Institute of Classical Studies,2041-5370,Hybrid,yes,,Social Sciences,OUP,2025-2027
Burns and Trauma,2321-3876,Gold OA,No,Discounted ,,OUP,2025-2027
Cambridge Journal Of Economics,1464-3545,Hybrid,yes,,Social Sciences,OUP,2025-2027
